timestamp,model,prompt_tokens,completion_tokens,total_tokens,cost_usd
2025-12-25T19:17:14,gpt-4o-mini,5055,1708,6763,0.001783
2026-01-05T02:10:56,gpt-4o-mini,9981,1489,11470,0.002391
2026-01-05T02:54:16,gpt-4o-mini,10260,2170,12430,0.002841
2026-01-05T03:03:24,gpt-4o-mini,10260,2476,12736,0.003025
2026-01-07T03:35:29,gpt-4o-mini,9867,1811,11678,0.002567
2026-01-12T14:56:04,gpt-4o-mini,20104,1693,21797,0.004031
2026-01-12T15:20:53,gpt-4o-mini,3087,1931,5018,0.001622
2026-01-12T15:31:25,gpt-4o-mini,4911,2117,7028,0.002007
2026-01-12T15:45:55,gpt-4o-mini,21928,1876,23804,0.004415
2026-01-12T16:07:48,gpt-4o-mini,19795,1777,21572,0.004035
2026-01-12T16:16:51,gpt-4o-mini,2897,3210,6107,0.002361
2026-01-12T16:27:09,gpt-4o-mini,3059,3899,6958,0.002798
2026-01-12T16:36:51,gpt-4o-mini,3059,4050,7109,0.002889
