dc:title,prism:publicationName,prism:coverDate,prism:volume,prism:issueIdentifier,prism:pageRange,prism:doi,subtype,subtypeDescription,citedby-count,eid,pubmed-id,openaccess,abstract,themes
Extreme rainfall over land exacerbated by marine heatwaves,Nature Communications,2026-12-01,17,1,,10.1038/s41467-026-68431-2,ar,Article,0,2-s2.0-105028392539,41577707,1,"Marine heatwaves (MHWs), characterized by multiple days of exceptionally elevated sea surface temperature (SST), have profound marine ecological impacts, but their effect on precipitation, particularly extreme rainfall over coastal regions, remains unknown. Using multi-platform observational data since 2000, here we show that SST gradients of MHW intensify surface wind speeds and drive downwind surface wind convergence and upward motions by enhancing vertical turbulent flux over the warm water. The induced anomalies lead to substantially increased local precipitation with spatial scale several hundreds of kilometers and temporally peaking one-day after the MHW. Furthermore, in global coastal regions, about 5%-25% of extreme rainfall over land (>99% wet-day) occurs in the downwind direction of nearby MHWs. Averaged land precipitation of the extreme rainfall events in the downwind direction of a strong MHW increases by 20%-30%, or 4-8 mm/day, from the amount without an influence from MHWs, exacerbating flood-related fatalities. Our finding identifies an impact of MHWs on coastal extreme events with important implications for affected communities, particularly given the projected increase in MHW intensity and frequency under greenhouse warming.","4,5,6,9"
Identifying South African marine protected areas at risk from marine heatwaves and cold-spells,Scientific Reports,2026-12-01,16,1,,10.1038/s41598-025-32725-0,ar,Article,0,2-s2.0-105028308891,41444338,1,"Marine heatwaves (MHWs) and marine cold-spells (MCSs) can negatively impact biodiversity as species distributions are largely governed by temperature linked to physiological tolerances. These extremes have not been considered in South Africa’s Marine Protected Area (MPA) network design, so understanding frequency and severity of extreme thermal events will be important for assessing their impact. This study characterises MHWs and MCSs in MPAs across the six South African marine ecoregions, using a novel index to compare thermal event severity. Thermal events declined in duration and intensity from west to east, with the least severe events recorded in the Delagoa ecoregion. Walker Bay MPA was identified as most at risk due to the combined impact of MHWs and MCSs. These thermal events may threaten the ability of the MPA to meet its conservation objective as a cetacean sanctuary. If past trends in MHW frequency and cumulative intensity persist, the majority of South African MPAs could experience more severe heatwaves in the future. Our approach will help prioritise sites for in situ monitoring of water temperature and studies of the impact of extreme thermal events, as well as identifying areas for expanding refugia and conservation corridors, supporting adaptive management into the future.","5,7,9,14"
Too hot for my bugs: mediterranean heatwave disrupts associated microbiomes in the sponge Petrosia ficiformis,Environmental Microbiome,2026-12-01,21,1,,10.1186/s40793-025-00830-2,ar,Article,0,2-s2.0-105028130859,,1,"Background: Global climate change exacerbates the incidence of marine heatwaves (MHWs), which have increased in intensity and frequency over the past years, causing severe impacts on marine coastal ecosystems. MHWs have already triggered mass mortalities of habitat-forming species, including corals, sponges and gorgonians, in temperate, tropical and polar seas. In the Mediterranean, these high peaks of temperature have been shown to affect several sponge species, and likely, their symbiotic microbial communities. During the summer of 2022, populations of the sponge Petrosia ficiformis (Poiret, 1789) were conspicuously observed with signs of thermal stress linked to a MHW around the Gulf of Naples (Tyrrhenian Sea, Italy). These included depigmentation spots and tissue texture alterations, which often evolved in necrotic processes and eventual death. At the peak of the MHW, however, apparently thermoresistant sponges co-occurred with sensitive unhealthy specimens. In order to explore potential microbial drivers correlated with these divergent thermal-stress tolerances, Healthy and Unhealthy individuals were sampled along the coast of Ischia Island in early September 2022. Results: Prokaryotic community characterization based on the 16 S rRNA gene revealed dissimilar compositions in Unhealthy versus apparently Healthy sponges. Increased alpha diversity richness and low evenness in thermosensitive sponges were due to an extensive presence of rare taxa, and to the introduction of potentially pathogenic groups (e.g., Vibrio spp.). Major microbial families regularly associated with P. ficiformis – SAR202, Caldilineaceae, Poribacteria or TK17, were replaced in thermosensitive specimens by professed opportunistic groups within Lentimicrobiaceae, Rhodobacteraceae or Flavobacteriaceae. In turn, conservancy of hub microbes and thermotolerant symbionts (e.g., Rhodothermaceae, Thermoanaerobaculaceae) in Healthy sponges were observed during this disrupting event. Unhealthy microbiomes reflected lower network stability with respect to Healthy holobionts, due to the inconsistency of functional keystone taxa and prevalence of transient microbes. Conclusions: Dysbiotic shifts due to colonization of scavenger groups and opportunistic microbes, and interconnectivity loss characterized thermally stressed sponges. In contrast, resistant specimens retained keystone symbionts that could have ensured functional cooperation, and maintenance of prokaryotic community cohesion under thermal stress. The existence of stress-resistant phenotypes in sponge holobionts offers a glimmer of hope for species persistence, and their study may identify potential source populations for ecosystem recovery.","7,11"
Features and trends of marine heat waves and marine cold spells along the Western Iberian Coast from four decades of satellite data,Scientific Reports,2026-12-01,16,1,,10.1038/s41598-025-31504-1,ar,Article,0,2-s2.0-105027573914,41444345,1,"Marine Heat Waves (MHWs) have been the focus of numerous studies due to the dramatic consequences they can have on coastal systems. However, Marine Cold Spells (MCSs) can also have harmful effects on the environment while play an important role in the context of global warming. Yet, there is lack of information on the physical attributes and long-term changes of MCSs. This study aims to investigate and compare the features and patterns of both MHWs and MCSs along the Western Iberian Coast (WIC) and its estuaries using satellite-derived Sea Surface Temperatures between 1982 and 2022. Overall, the WIC registered more MCSs than MHWs, although with lower intensities. The coastal region between Minho and Douro Estuaries and Cape São Vicente were favorable for MCSs development. The coastal regions of Minho through Aveiro and the south coast of Portugal registered MCSs and MHWs with the highest average and maximum intensities. No significant trends were observed for MHWs and MCSs features throughout the WIC. MHWs (MCSs) events were found to have been increasing (decreasing) offshore. However, an increase was registered near the coastline for MCS (0.06 events/year). Increased seasonal upwelling could be contributing to mask the development of MHWs and enhance MCSs.","2,4,10"
Short-term focus: phased response of Zostera marina seedlings to the combined stress of marine heatwave and ocean acidification,BMC Plant Biology,2026-12-01,26,1,,10.1186/s12870-025-07784-0,ar,Article,0,2-s2.0-105026904127,41326990,1,"Marine heat wave (MHW) and ocean acidification (OA) caused by global climate change occur frequently and intensify, which cause damage to the stability of seagrass bed. However, the understanding of the phased-impacts of sudden temperature and acidification changes on seagrass is limited. The study conducted phenomic, transcriptomic and metabolomic analyses to investigate the short-term response mechanisms of Zostera marina seedlings to sudden temperature and acidification incerease. The results showed that Z. marina seedlings activated an integrated metabolic response involving fatty acid metabolism, carbohydrate metabolism and amino acid metabolism to modulate cell membrane properties, enhance thermotolerance and maintain developmental stability. What is noteworthy is that the continuous high expression of the ABC transporters play a crucial role in resisting stress. The study is helpful to clarify the short-term phased response of Z. marina seedlings to the combination of MHW and OA, and have significant importance for the protection and restoration of seagrass beds.","7,11"
40 priority questions to advance understanding of the risks and opportunities of UK marine heatwaves,Npj Ocean Sustainability,2026-12-01,5,1,,10.1038/s44183-025-00171-0,ar,Article,0,2-s2.0-105026677209,,1,"Marine heatwaves (MHWs) are periods of anomalously warm sea temperatures that are becoming increasingly recognised as ocean stressors. Globally, MHWs have impacted marine ecosystems, with significant socioeconomic implications for coastal communities and industries. The unprecedented MHW that occurred in the waters surrounding the UK and Ireland in summer 2023 highlighted a crucial gap in our understanding of the region-specific characteristics of MHWs and their impacts on marine ecosystems, the services they underpin, the blue economy and society. Using diverse expert opinion, we propose 40 priority questions for interdisciplinary research in the UK that must urgently be addressed to prepare for future risks and potential opportunities associated with MHWs. The targeted questions are listed under a broad range of themes. Recommendations to policy makers and those influencing the strategic direction and allocation of funding and resources are also suggested to assist decision-makers towards evidence-based action and guide funding streams.","5,9,10,11"
System resilience measurement using input-output disaster analysis,Environmental Impact Assessment Review,2026-04-01,118,,,10.1016/j.eiar.2026.108331,ar,Article,0,2-s2.0-105027302651,,0,"As climate-related disasters intensify, developing effective mitigation and adaptation policies requires measuring the resilience of socio-economic systems. This study proposes a threshold-based resilience measurement framework grounded in input-output disaster analysis. Leveraging a global multi-regional input-output table, we introduce a novel negligible-loss threshold to identify non-resilient sectors and regions, and to quantify post-disaster system losses. Applying the method to marine heatwaves impacting blue food systems in North America and Pacific OECD countries, we evaluate the applicability of four input-output disaster models for resilience measurement. In this context, resilience is captured through transaction trade-off, adaptive capacity through resource reallocation, and adjustment capacity through micro-level input substitution. We find that input-output disaster models that lack substitution mechanisms, or allow only limited production optimization, systematically overestimate post-disaster system losses. Incorporating substitution mechanisms effectively avoids such overestimation, underscoring the pivotal role of adjustment capacity in mitigating disaster impacts and enhancing the blue food systems resilience. The proposed resilience measurement framework is applicable to both sudden-onset disasters and slow-onset production shocks, offering a practical tool for resilience analysis and risk-informed policy development.",9
Experimental Assessment of the Impact of Marine Heatwave Intensity on Three Marine Angiosperm Species in a Mediterranean Lagoon Environment,Estuaries and Coasts,2026-03-01,49,2,,10.1007/s12237-025-01645-7,ar,Article,0,2-s2.0-105028441464,,0,"The increasing intensity, frequency, and duration of extreme climatic events (ECEs) due to climate change pose additional pressures on seagrass habitats in lagoon ecosystems. Among these ECEs, this study investigates the impact of marine heatwaves (MHWs) on three seagrass species from Mediterranean lagoons: Cymodocea nodosa, Nanozostera noltei, and Ruppia cirrhosa. Using a near-natural mesocosm, we simulated a 20-day MHW at three intensities (+ 2 °C, + 4 °C, + 6 °C above control) during spring and summer, and assessed changes in growth, respiration, and gross primary production. Species and seasonal responses varied. C. nodosa exhibited enhanced net foliar growth in spring and stable growth in summer. N. noltei benefited from moderate warming in spring but was vulnerable to high-intensity heatwaves in summer. R. cirrhosa was resilient in spring and exhibited increased growth in summer, particularly at + 4 °C. Overall, all three species tolerated a single 20-day MHW, with relative adaptation ranked as N. noltei < R. cirrhosa < C. nodosa. A common response across species was the initiation and growth of new leaves, although less pronounced in R. cirrhosa. Our experimental approach reveals clear species- and season-specific responses to MHWs, highlighting the complexity of seagrass resilience in lagoon ecosystems. In particular, seagrasses from lagoon environments display robust short-term tolerance to MHWs, with only N. noltei showing vulnerability to the highest summer intensity. These results indicate that while lagoon species are adapted to variable environments, their resilience may be challenged by increasingly frequent and prolonged MHWs expected under future climate change.","7,11"
Assessing the impact of successive marine heatwaves on the diversity of rocky intertidal communities,Journal of Sea Research,2026-03-01,210,,,10.1016/j.seares.2026.102675,ar,Article,0,2-s2.0-105028276540,,1,"In recent years, clarification of the impacts of marine heatwaves (MHWs) on marine ecosystems has become an important topic. However, most previous studies that have assessed impacts of MHWs have not adequately reduced stochasticity, which has led to insufficient assessment of the direct effects of MHWs. There are also few studies that evaluate the accumulative carryover effects; which occur when the effects of successive events accumulatively increase over time. In addition, many studies have examined the effects of MHWs on abundance, but relatively few on diversity. From 2010 to 2016, southeastern Hokkaido in northern Japan experienced successive MHWs. Here, we assessed the accumulative carryover effects and the impact of MHWs on diversity (species richness and abundance-weighted diversity indices) with reduced stochasticity for four major functional groups (macroalgae, sessile invertebrates, herbivorous mollusks, and carnivorous invertebrates) of rocky intertidal communities. Surveys were conducted before (2004–2009), during (2010–2016), and after (2017–2018) MHWs. We found that the accumulative carryover effects were not detected in diversity. The results demonstrate that MHWs are to lead to accumulative carryover effects on abundance than on diversity. We also found that the direct effects of MHWs on diversity (i.e., increase or decrease of diversity indices during and after MHWs) were different among the four functional groups. These results were due to differences in species composition within the functional groups, such as the proportion of warm water species and cold affinity species and the proportion of dominant species. Thus, multiple metrics should be quantified simultaneously when assessing impacts on MHWs.","7,14"
Assessing impacts of extreme climate and weather events on endangered pearl oysters Pinctada maxima,Marine Environmental Research,2026-03-01,215,,,10.1016/j.marenvres.2025.107821,ar,Article,0,2-s2.0-105026855883,41478057,0,"Extreme climate and weather events in the ocean, especially ocean acidification (OA) and marine heatwaves (MHWs), have strikingly accelerated in the past decades, yet their compound consequences remain poorly understood. The pearl oyster (Pinctada maxima), an endangered keystone species in Indo-Pacific reef ecosystems, is highly vulnerable to such events. Here, we assessed how OA-stressed P. maxima juveniles responded to MHWs (+3 °C), based on a total of 100 individuals exposed to two weeks. Oysters reared at pH 7.7 significantly increased activities of energy-metabolizing enzymes (T-ATP and NKA) in response to MHWs, whereas both enzymes significantly decreased, albeit CMA increased, at pH 7.4. MHWs significantly depressed antioxidant enzyme activities, such as SOD at both pH levels, resulting in elevated MDA levels indicative of lipid peroxidation. Contrasting responses of immune enzymes (ACP and AKP) to MHWs were seen in oysters grown under moderately and severely acidified conditions. MHWs, also, significantly depressed expression levels of key genes related to cellular metabolism (ATP1A, ATP1B, ND5, ATPeV1F and ATPeF1A) and those associated with antioxidant defence (SOD, SOD1, SOD2, Hsp70, Hsp90 and CAT), in particular when stressed at pH 7.4. Taken together, our findings suggest that intensifying MHWs can constrain the ability of P. maxima to cope with OA and likely accelerate further population decline in this era of unprecedented climate change.","6,7,8,9"
