dc:title,prism:publicationName,prism:coverDate,prism:volume,prism:issueIdentifier,prism:pageRange,prism:doi,subtype,subtypeDescription,citedby-count,eid,pubmed-id,openaccess,abstract,themes
Combined LFS and ConvLSTM to forecast marine heatwaves: a case study,Atmospheric and Oceanic Science Letters,2026-03-01,19,2,,10.1016/j.aosl.2025.100690,ar,Article,0,2-s2.0-105012745219,,1,"Marine heatwaves (MHWs) in the South China Sea (SCS) significantly impact marine ecosystems and socioeconomic development, yet accurately forecasting MHWs remains a challenge. This study developed an upper-ocean temperature forecasting model based on ConvLSTM for the northern SCS and, in conjunction with the ocean forecasting system LICOM Forecast System (LFS), constructed a hybrid Fusion model using Wasserstein-Distance optimization. The ability of these three models to forecast key MHW metrics with a 10-day lead was assessed during the summer of 2022 in the SCS. Overall, the Fusion model takes advantage of LFS and ConvLSTM, providing superior forecasts for both the duration and intensity of MHWs in the southern SCS. LFS (ConvLSTM) overestimates (underestimates) the duration of MHWs and all models exhibit limitations in forecasting the intensity of MHWs in part of the SCS. The Fusion model's superior forecast skill for MHWs may be attributable to its more realistic representation of the upper-ocean thermal structure with shallower mixed-layer depths during MHWs. This study highlights that combining the deep learning technique with a dynamical model can improve MHW forecasting and has certain physical interpretability. 摘要 海洋热浪 (MHW) 严重威胁中国南海生态与经济, 亟需提高MHW预测能力. 本研究基于海洋再分析资料, 利用ConvLSTM构建上层海温深度学习预报模型, 并与LICOM海洋环境预报系统 (LFS) 融合, 建立订正模型 (Fusion). 评估ConvLSTM, LFS和Fusion对2022年南海夏季MHW持续时间和平均强度的预报技巧表明: 1) Fusion技巧最优; 2) LFS系统性高估, ConvLSTM系统性低估MHW持续时间; 3) 三个模型对部分海域的MHW平均强度预报存在局限. Fusion较高的MHW预报技巧可能与更合理的上层温度垂直结构有关. 本研究表明, 融合深度学习与动力模式可有效改进南海MHW预报, 并具物理可解释性.",
Back-to-back triggering of tropical cyclones during extreme positive IOD event in the Arabian Sea,Climate Dynamics,2026-02-01,64,2,,10.1007/s00382-025-07993-1,ar,Article,0,2-s2.0-105026861705,,0,"Ocean-atmospheric interactions are known to be crucial for the prediction of genesis and intensification of tropical cyclones (TCs). The TCs are the most catastrophic natural disasters threatening livelihood and socioeconomy, which are abruptly altered by regional climate variability. The present study investigates the cascading impacts of an extreme positive Indian Ocean Dipole (PIOD) event of 2019 on the severity and frequency of TCs and marine heatwaves (MHWs) in the Arabian Sea. During the extreme PIOD phase, anomalous easterly winds enhanced SST zonal gradients in the tropical Indian Ocean, triggering a downwelling equatorial Kelvin wave, which was further intensified by the reflection of Rossby wave from the African coast, thereby contributing to increased MHWs and TC activity. This study highlights that the Arabian Sea in 2019 experienced an anomalously high SST, marking the first historical record by exceeding its dipole mode index value of 2.1 °C; subsequently attributed to high MHW frequency (9 events) and five TC occurrences. A prolonged occurrence of surface and subsurface MHWs is observed prior to the TCs. The vertical coupling between surface and subsurface MHWs regulates the thermal structure of the upper ocean and, in turn, modulates TC activity in the Arabian Sea. Furthermore, a bimodal pattern of subsurface MHWs with pronounced warm anomalies was observed during the pre-monsoon (March-May) and post-monsoon (October-December) periods, indicating two distinct phases of subsurface heat accumulation and persistence in the Arabian Sea. The decreased vertical wind shear and low-level jet are favorable for the prolonged sustenance of MHWs and TC activity during the onset of monsoon. The findings provide insights into the synergistic interplay of extreme PIOD event associated MHW, TCs, and their implications for regional climate variability during 2019.","4,5,10,13"
Marine Heatwaves Enable High-Latitude Maintenance of Super Typhoons: The Role of Deep Ocean Stratification and Cold-Wake Mitigation,Journal of Marine Science and Engineering,2026-01-01,14,2,,10.3390/jmse14020191,ar,Article,0,2-s2.0-105028580344,,1,"Tropical cyclones typically weaken rapidly during poleward propagation due to decreasing sea surface temperatures and increasing vertical wind shear. Super Typhoon Oscar (1995) deviated from this pattern by maintaining Category-5 intensity at an anomalously high latitude. This study investigates the oceanic mechanisms driving this resilience by integrating satellite SST data with atmospheric (ERA5) and oceanic (HYCOM) reanalysis products. Our analysis shows that the storm track intersected a persistent marine heatwave (MHW) characterized by a deep thermal anomaly extending to approximately 150 m. This elevated heat content formed a strong stratification barrier at the base of the mixed layer (~32 m) that prevented the typical entrainment of cold thermocline water. Instead, storm-induced turbulence mixed warm subsurface water upward to effectively mitigate the negative cold-wake feedback. This process sustained extreme upward enthalpy fluxes exceeding 210 W m−2 and generated a regime of thermodynamic compensation that enabled the storm to maintain its structure despite an unfavorable atmospheric environment with moderate-to-strong vertical wind shear (15–20 m s−1). These results indicate that the three-dimensional ocean structure acts as a more reliable predictor of typhoon intensity than SST alone in regions affected by MHWs. As MHWs deepen under climate warming, this cold-wake mitigation mechanism is likely to become a significant factor influencing future high-latitude cyclone hazards.","3,4,5"
Increasing bottom marine heatwaves pose a critical risk to Mediterranean benthic species,Cell Reports Sustainability,2026-01-01,,,,10.1016/j.crsus.2025.100610,ar,Article,0,2-s2.0-105028414224,,1,"Marine heatwaves (MHWs) are extreme ocean temperature events broadly affecting marine ecosystems. The Mediterranean Sea has faced severe impacts from increasing MHWs in recent decades. Utilizing daily projected subsurface temperatures, we assess the exposure of Mediterranean threatened benthic species to bottom MHWs (BMHWs). Our results report that over 90% of threatened benthic species’ habitats will experience 150–300 BMHW days annually throughout the 21st century, with 83% exposed to extreme BMHWs. Under near-present conditions, longer BMHW durations occur in deeper waters. By 2070–2099, BMHW durations are projected to increase, with extreme events affecting benthic species at all depths year-round. Notably, Cnidaria, Crustacea, and Echinodermata are projected to face high exposure, with substantial portions of their current and future distributions falling within the highest BMHW categories. Our projections align with historical mass mortality events, highlighting the need for targeted conservation strategies to mitigate BMHW impacts on Mediterranean benthic species.","3,7,11"
A Physics-Guided Hierarchical Transformer Framework for Sea Surface Temperature Forecasting and Marine Heatwave Detection,IEEE Geoscience and Remote Sensing Letters,2026-01-01,23,,,10.1109/LGRS.2025.3643727,ar,Article,0,2-s2.0-105024801867,,0,"The accurate forecasting of sea surface temperature (SST) and early detection of marine heatwaves (MHWs) are critical yet challenging due to the complex, nonlinear, and multiscale dynamics of the ocean-atmosphere system. To address this, we propose a novel physics-guided hierarchical transformer framework that integrates deep spatiotemporal learning with physical constraints. The architecture employs a U-shaped encoder-decoder with a temporal-spatial predictor (TSP) module. Crucially, it incorporates a physics-constrained branch grounded in the mixed-layer heat budget equation, enhancing physical consistency and interpretability. A data-driven residual compensation mechanism is further utilized to adaptively fuse physically derived predictions with dynamic corrections via a learnable weighting scheme. This dual-stream design enables robust multistep rolling forecasting, accurately capturing both gradual SST variations and abrupt MHW events. Extensive experiments on high-resolution datasets demonstrate that our model significantly outperforms the state-of-the-art baselines, including ConvLSTM, DeepONet, FNO, and hybrid models. These results highlight the framework's capacity to bridge physical oceanography with modern AI, offering a robust tool for operational forecasting and climate risk assessment.","2,12,15"
Decadal changes in California's temperate mesophotic reef invertebrate community through the 2014–2016 northeast Pacific marine heatwave,Marine Environmental Research,2026-01-01,213,,,10.1016/j.marenvres.2025.107644,ar,Article,0,2-s2.0-105020783290,41197372,1,"The 2014–2016 northeast Pacific marine heatwave (MHW) disrupted marine ecosystems in California, with well-documented impacts on kelp reef ecosystems, and deep reef fish assemblages. However, no studies have assessed the direct or indirect impacts on sessile benthic reef invertebrates inhabiting mesophotic rocky reefs (>30 m deep), despite their critical role in biodiversity and ecosystem function. Given that much of California's rocky reefs lie within mesophotic depths, understanding their responses to climate-driven disturbances is a high priority. Using remote operated vehicles surveys conducted from 2005 to 2021 across marine protected areas (MPAs) and habitat-matched reference sites, we quantified changes in sessile invertebrate abundance, both independently and in relation to urchin presence, during and after the MHW. Community responses varied across a five-degree latitudinal gradient (33.87°- 38.97°N), with no consistent differences attributable to MPA designation. Sponges and California hydrocorals increased regionally, while red and purple gorgonians, elephant ear tunicates, and sea whips declined during the MHW and remained suppressed five years later. Although surface warming reached mesophotic depths at some sites, temperatures remained within typical ranges, suggesting the MHW event may not be the primary driver of the observed changes. Instead, broader ecosystem perturbations likely facilitated red sea urchin expansion into mesophotic depths from 2015 onwards. Their presence was associated with declines in several species, representing a potential indirect pathway through which this climate disturbance affects mesophotic assemblages. These findings highlight the need for depth-resolved monitoring to assess changes in this understudied ecosystem and to identify mesophotic refugia at thermally stable sites.","7,11,14"
Subsurface Marine Heatwaves Intensity Projected to Decrease in the Caribbean Sea Under RCP8.5,Geophysical Research Letters,2025-12-16,52,23,,10.1029/2025GL117730,ar,Article,0,2-s2.0-105023189938,,1,"Marine heatwaves (MHWs)—extreme ocean temperature anomalies—are increasing in frequency and intensity globally, yet their vertical structure and drivers remain underexplored in the Caribbean Sea (CS), a region of critical ecological and socioeconomic importance. Using high resolution climate model simulations and reanalysis fields, we show that MHW intensity in the CS peaks in the subsurface, where vertical gradients of temperature are stronger, and that MHWs are associated with the passage of Rossby waves. Projections under the RCP8.5 scenario reveal that while the ocean continues to warm to the end of the century, subsurface MHW intensity weakens. This decline is associated with a weaker thermocline, reduced ocean currents and eddy kinetic energy, and less energetic Rossby waves. Reducing uncertainties in climate projections will be essential to improve our understanding of how marine heat extremes may evolve and affect Caribbean ecosystems.","3,4,5,10"
Vertical structure of subsurface marine heatwaves in a shallow nearshore upwelling system,Scientific Reports,2025-12-01,15,1,,10.1038/s41598-025-90565-4,ar,Article,5,2-s2.0-85218700246,39984585,1,"Marine heatwaves (MHWs) are increasing in frequency and intensity globally and are among the greatest threats to marine ecosystems. However, limited studies have characterized subsurface MHWs, particularly in shallow waters. We utilized nearly two decades of full water-column (~ 10 m) observations from a unique automated profiler in central California to characterize, for the first time, the vertical structure of MHWs in a shallow nearshore upwelling system. We found MHWs have similar average durations and intensities across all depths, but there were ~ 17% more bottom MHW days than surface MHW days. Nearly one third of bottom MHWs occurred independently of surface MHWs, indicating that satellites miss a significant fraction of events. MHWs showed distinct seasonality with more frequent and intense events during the fall/winter when weak stratification allowed for MHWs to occupy a larger portion of the water column and persist longer. During summer, strong stratification limited the vertical extent of MHWs, leading to surface- and bottom-trapped events with shorter durations and intensities. Additionally, MHW initiation and termination across depths was consistently linked to anomalously low and high coastal upwelling, respectively. This study highlights the need for expansion of subsurface monitoring of MHWs globally amid a warming planet.","3,4,13"
Gene content of seawater microbes is a strong predictor of water chemistry across the Great Barrier Reef,Microbiome,2025-12-01,13,1,,10.1186/s40168-024-01972-0,ar,Article,3,2-s2.0-85216048537,39819379,1,"Background: Seawater microbes (bacteria and archaea) play essential roles in coral reefs by facilitating nutrient cycling, energy transfer, and overall reef ecosystem functioning. However, environmental disturbances such as degraded water quality and marine heatwaves, can impact these vital functions as seawater microbial communities experience notable shifts in composition and function when exposed to stressors. This sensitivity highlights the potential of seawater microbes to be used as indicators of reef health. Microbial indicator analysis has centered around measuring the taxonomic composition of seawater microbial communities, but this can obscure heterogeneity of gene content between taxonomically similar microbes, and thus, microbial functional genes have been hypothesized to have more scope for predictive potential, though empirical validation for this hypothesis is still pending. Using a metagenomics study framework, we establish a functional baseline of seawater microbiomes across offshore Great Barrier Reef (GBR) sites to compare the diagnostic value between taxonomic and functional information in inferring continuous physico-chemical metrics in the surrounding reef. Results: Integrating gene-centric metagenomics analyses with 17 physico-chemical variables (temperature, salinity, and particulate and dissolved nutrients) across 48 reefs revealed that associations between microbial functions and environmental parameters were twice as stable compared to taxonomy-environment associations. Distinct seasonal variations in surface water chemistry were observed, with nutrient concentrations up to threefold higher during austral summer, explained by enhanced production of particulate organic matter (POM) by photoautotrophic picocyanobacteria, primarily Synechococcus. In contrast, nutrient levels were lower in winter, and POM production was also attributed to Prochlorococcus. Additionally, heterotrophic microbes (e.g., Rhodospirillaceae, Burkholderiaceae, Flavobacteriaceae, and Rhodobacteraceae) were enriched in reefs with elevated dissolved organic carbon (DOC) and phytoplankton-derived POM, encoding functional genes related to membrane transport, sugar utilization, and energy metabolism. These microbes likely contribute to the coral reef microbial loop by capturing and recycling nutrients derived from Synechococcus and Prochlorococcus, ultimately transferring nutrients from picocyanobacterial primary producers to higher trophic levels. Conclusion: This study reveals that functional information in reef-associated seawater microbes more robustly associates with physico-chemical variables than taxonomic data, highlighting the importance of incorporating microbial function in reef monitoring initiatives. Our integrative approach to mine for stable seawater microbial biomarkers can be expanded to include additional continuous metrics of reef health (e.g., benthic cover of corals and macroalgae, fish counts/biomass) and may be applicable to other large-scale reef metagenomics datasets beyond the GBR. D4ZFkyo-_x3xtsAViMg6HSVideo Abstract","7,8,11"
Analysis of the November 2023 to March 2024 Marine Heatwave in the Java Sea Using Satellite and Profiling Floats Data,Korean Journal of Remote Sensing,2025-12-01,41,6,1189-1205,10.7780/kjrs.2025.41.6.19,ar,Article,0,2-s2.0-105027539797,,1,"The impacts of ongoing global warming and climate change are increasingly evident, with marine heatwaves (MHWs) representing one of the most critical oceanic responses. MHWs are becoming a significant threat to marine ecosystems and coastal livelihoods, not only through direct impacts on fisheries but also by altering regional weather patterns and increasing the risk of extreme events. This study investigates the long-term characteristics and driving mechanisms of MHWs in the Java Sea, a shallow sea within the Indonesian archipelago, with a specific case study on the 2023-2024 event. Analysis of 42 years using the Operational Sea Surface Temperature and Ice Analysis (OSTIA) satellite data from 1982 to 2024 revealed 69 MHW events, with a significantly increasing trend in their annual frequency and cumulative days. The major MHW event of November 2023-March 2024 occurred under the combined influence of a strong El Niño and a positive Indian Ocean Dipole (IOD). These large-scale modes suppressed the regional monsoon, resulting in weakened surface winds and a significant net heat flux surplus into the ocean. Concurrently, active Madden Jullian Oscillation (MJO) during the MHW led to the formation of a barrier layer that acted as an efficient subsurface heat trap. Subsurface analysis using profiling float data confirmed that this warming was not a mere surface phenomenon, penetrating to depths of 40-70 meters and being exacerbated by the formation of this heat-trapping barrier layer. These findings highlight the complex interplay of multi-scale climate drivers in generating extreme oceanic events in the Indonesian seas.","2,3,4,5,10"
