dc:title,prism:publicationName,prism:coverDate,prism:volume,prism:issueIdentifier,prism:pageRange,prism:doi,subtype,subtypeDescription,citedby-count,eid,pubmed-id,openaccess,abstract,authors,themes
Back-to-back triggering of tropical cyclones during extreme positive IOD event in the Arabian Sea,Climate Dynamics,2026-02-01,64,2,,10.1007/s00382-025-07993-1,ar,Article,0,2-s2.0-105026861705,,0,"Ocean-atmospheric interactions are known to be crucial for the prediction of genesis and intensification of tropical cyclones (TCs). The TCs are the most catastrophic natural disasters threatening livelihood and socioeconomy, which are abruptly altered by regional climate variability. The present study investigates the cascading impacts of an extreme positive Indian Ocean Dipole (PIOD) event of 2019 on the severity and frequency of TCs and marine heatwaves (MHWs) in the Arabian Sea. During the extreme PIOD phase, anomalous easterly winds enhanced SST zonal gradients in the tropical Indian Ocean, triggering a downwelling equatorial Kelvin wave, which was further intensified by the reflection of Rossby wave from the African coast, thereby contributing to increased MHWs and TC activity. This study highlights that the Arabian Sea in 2019 experienced an anomalously high SST, marking the first historical record by exceeding its dipole mode index value of 2.1 °C; subsequently attributed to high MHW frequency (9 events) and five TC occurrences. A prolonged occurrence of surface and subsurface MHWs is observed prior to the TCs. The vertical coupling between surface and subsurface MHWs regulates the thermal structure of the upper ocean and, in turn, modulates TC activity in the Arabian Sea. Furthermore, a bimodal pattern of subsurface MHWs with pronounced warm anomalies was observed during the pre-monsoon (March-May) and post-monsoon (October-December) periods, indicating two distinct phases of subsurface heat accumulation and persistence in the Arabian Sea. The decreased vertical wind shear and low-level jet are favorable for the prolonged sustenance of MHWs and TC activity during the onset of monsoon. The findings provide insights into the synergistic interplay of extreme PIOD event associated MHW, TCs, and their implications for regional climate variability during 2019.","Jena, Amit Kumar; Behera, Manasa Ranjan; Mohanty, Sachiko; Srineash, V. K.","4,5,10,13"
Increasing bottom marine heatwaves pose a critical risk to Mediterranean benthic species,Cell Reports Sustainability,2026-01-01,,,,10.1016/j.crsus.2025.100610,ar,Article,0,2-s2.0-105028414224,,1,"Marine heatwaves (MHWs) are extreme ocean temperature events broadly affecting marine ecosystems. The Mediterranean Sea has faced severe impacts from increasing MHWs in recent decades. Utilizing daily projected subsurface temperatures, we assess the exposure of Mediterranean threatened benthic species to bottom MHWs (BMHWs). Our results report that over 90% of threatened benthic species’ habitats will experience 150–300 BMHW days annually throughout the 21st century, with 83% exposed to extreme BMHWs. Under near-present conditions, longer BMHW durations occur in deeper waters. By 2070–2099, BMHW durations are projected to increase, with extreme events affecting benthic species at all depths year-round. Notably, Cnidaria, Crustacea, and Echinodermata are projected to face high exposure, with substantial portions of their current and future distributions falling within the highest BMHW categories. Our projections align with historical mass mortality events, highlighting the need for targeted conservation strategies to mitigate BMHW impacts on Mediterranean benthic species.","Konsta, Katerina; Katsanevakis, Stelios; Stranga, Yolanda; D. Mazaris, Antonios","3,7,11"
Subsurface Marine Heatwaves Intensity Projected to Decrease in the Caribbean Sea Under RCP8.5,Geophysical Research Letters,2025-12-16,52,23,,10.1029/2025GL117730,ar,Article,0,2-s2.0-105023189938,,1,"Marine heatwaves (MHWs)—extreme ocean temperature anomalies—are increasing in frequency and intensity globally, yet their vertical structure and drivers remain underexplored in the Caribbean Sea (CS), a region of critical ecological and socioeconomic importance. Using high resolution climate model simulations and reanalysis fields, we show that MHW intensity in the CS peaks in the subsurface, where vertical gradients of temperature are stronger, and that MHWs are associated with the passage of Rossby waves. Projections under the RCP8.5 scenario reveal that while the ocean continues to warm to the end of the century, subsurface MHW intensity weakens. This decline is associated with a weaker thermocline, reduced ocean currents and eddy kinetic energy, and less energetic Rossby waves. Reducing uncertainties in climate projections will be essential to improve our understanding of how marine heat extremes may evolve and affect Caribbean ecosystems.","Sala, Jacopo; Giglio, Donata; Capotondi, Antonietta; Seijo-Ellis, Giovanni; Castruccio, Frederic","3,4,5,10"
Vertical structure of subsurface marine heatwaves in a shallow nearshore upwelling system,Scientific Reports,2025-12-01,15,1,,10.1038/s41598-025-90565-4,ar,Article,5,2-s2.0-85218700246,39984585,1,"Marine heatwaves (MHWs) are increasing in frequency and intensity globally and are among the greatest threats to marine ecosystems. However, limited studies have characterized subsurface MHWs, particularly in shallow waters. We utilized nearly two decades of full water-column (~ 10 m) observations from a unique automated profiler in central California to characterize, for the first time, the vertical structure of MHWs in a shallow nearshore upwelling system. We found MHWs have similar average durations and intensities across all depths, but there were ~ 17% more bottom MHW days than surface MHW days. Nearly one third of bottom MHWs occurred independently of surface MHWs, indicating that satellites miss a significant fraction of events. MHWs showed distinct seasonality with more frequent and intense events during the fall/winter when weak stratification allowed for MHWs to occupy a larger portion of the water column and persist longer. During summer, strong stratification limited the vertical extent of MHWs, leading to surface- and bottom-trapped events with shorter durations and intensities. Additionally, MHW initiation and termination across depths was consistently linked to anomalously low and high coastal upwelling, respectively. This study highlights the need for expansion of subsurface monitoring of MHWs globally amid a warming planet.","Plume, Gavin; Walter, Ryan K.; Cobb, Isabelle; Dalsin, Michael; Mazzini, Piero L.F.; Shunk, Nathan P.; Robbins, Ian; Connolly, Thomas P.","3,4,13"
Strong impact of tropical cyclones on the genesis of subsurface marine heatwaves,Communications Earth and Environment,2025-12-01,6,1,,10.1038/s43247-025-02992-w,ar,Article,0,2-s2.0-105026215695,,1,"Subsurface marine heatwaves are newly recognized extreme ocean events with profound impacts on global marine ecosystems. Previous studies have linked their formation to downwelling favorable surface winds, warm ocean eddies, and planetary waves, yet whether other potential drivers of these heatwaves exist remains unclear. The tropical cyclones are well known to induce a pronounced warming in the subsurface. Here, we show that the induced warming can efficiently trigger subsurface marine heatwaves. It is shown from an ocean reanalysis that such warming reaches the heatwave threshold at least once along the tropical cyclone life cycle for 79.4% of the tropical cyclones. Tropical cyclone-induced heatwaves thus account for up to 40.0% of the heatwaves in cyclone-active regions. The area and intensity of tropical cyclone-induced heatwaves have increased over the past two decades, likely due to the steady warming of subsurface temperatures.","Wang, Xilong; Lian, Tao; Zhang, Han; Roughan, Moninya; Li, Junde; Liu, Ting; Zhang, Yanwei","3,4,5"
Vertical transitions of marine heatwaves influenced by seasonally varying atmospheric forcing and coastal upwelling system,Communications Earth and Environment,2025-12-01,6,1,,10.1038/s43247-025-02853-6,ar,Article,0,2-s2.0-105022080977,,1,"Under ongoing global warming, global coastal upwelling systems are increasingly recognized as potential thermal refugia from marine heatwaves, owing to their ability to transport colder subsurface water to the surface. Here we hypothesized that the upwelling (downwelling) concurrent with marine heatwaves would restrict (deepen) their maximum depth. Mixed-layer heat budget analyses using satellite and reanalysis datasets revealed an intrinsic connection between the seasonally varying upwelling system and marine heatwaves over the Greater Bay Area of China. Notably, upwelling driven by local monsoons and coastal topography appears to limit the vertical extent of marine heatwaves, modulating transitions between surface and subsurface events. Our findings provide a distinct perspective on the role of coastal upwelling in shaping the vertical structure of marine heatwaves. While upwelling regions may still serve as thermal refugia under continued warming, their buffering effect is likely more pronounced for subsurface or bottom marine heatwaves than for surface events.","Hu, Yuwei; Wang, Chunzai","3,4,13"
Lifting the lid on Marine Heatwaves,Progress in Oceanography,2025-12-01,239,,,10.1016/j.pocean.2025.103539,ar,Article,2,2-s2.0-105016132998,,1,"Life is ubiquitous throughout the ocean, with species abundance and richness often greatest below the surface. As a result, ocean extremes throughout the water column may impact resident marine organisms and ecosystems. However, ocean extremes, such as marine heatwaves, have been commonly described based on surface observations. Given the importance of subsurface ocean processes, such as nutrient recycling, (de)oxygenation, and carbon transport, there has been an increasing focus on subsurface marine heatwaves (MHWs). Subsurface MHWs are prolonged warm ocean temperature extremes, and have a diversity of vertical structures linked with different driving mechanisms. Warming may be confined to the surface mixed layer; it may extend much deeper, potentially affecting the entire water column; it may appear only below the surface, with no surface signature, or it may be isolated near to or connected with the seafloor. Based on existing literature and a new analysis of subsurface MHW structure, we propose a comprehensive naming convention, differentiating between mixed layer, deep, thermocline, full depth, submerged and benthic marine heatwaves. Most surface-confined MHWs are associated with surface heat fluxes or shallow ocean advection or mixing. Conversely, many subsurface events are likely related to the vertical or horizontal displacement of temperature gradients/fronts, deep advection, and/or subduction of warm waters below the mixed layer. Different MHW vertical structures also have varying impacts on ocean biogeochemistry. However, due to the sparsity of physical, biogeochemical and biological observations, as well as the complexity of identifying and describing subsurface MHWs, there is limited understanding of the impact of subsurface MHW extremes. The nomenclature proposed in this paper seeks to provide a common language for understanding subsurface MHWs, thus enabling inter-disciplinary studies to quantify their impact.","Malan, Neil; Gupta, Alex Sen; Schaeffer, Amandine; Zhang, Shujing; Doblin, Martina A.; Pilo, Gabriela Semolini; Kiss, Andrew E.; Everett, Jason D.; Behrens, Erik; Capotondi, Antonietta; Cravatte, Sophie; Hobday, Alistair J.; Holbrook, Neil J.; Kajtar, Jules B.; Spillman, Claire M.","3,4,7"
Subsurface marine heatwaves: challenging to detect at the surface yet critically important,Journal of Oceanology and Limnology,2025-11-01,43,6,1685-1687,10.1007/s00343-025-5225-7,ed,Editorial,0,2-s2.0-105018489481,,1,,"Hu, Shijian","3,4,13"
Summertime bottom marine heatwaves in the East China Sea driven by oceanic circulation,Journal of Oceanology and Limnology,2025-11-01,43,6,1726-1738,10.1007/s00343-025-4218-x,ar,Article,2,2-s2.0-105004450033,,0,"Bottom marine heatwaves (BMHWs), i.e., anomalous ocean warming at the seafloor, can happen without concurrent surface marine heatwaves (SMHWs), which pose a serious threat to marine ecosystems and present a challenge to detect and study them adequately. This type of event is called independent BMHWs. This study examines the summertime BMHWs on the continental shelf of the East China Sea (ECS) using oceanic reanalysis data from 1993 to 2020. Our results show that summertime BMHWs in the ECS are generally more intense than SMHWs, with some BMHW events occurring without surface expression. Through heat budget analyses of the 2016 SMHW event and the 2019 BMHW event, we investigated the drivers of independent summertime BMHWs. It is indicated that the occurrences of bottom temperature anomalies in summer are predominantly attributed to oceanic horizontal advection. Specifically, the summertime BMHWs on the central ECS shelf are closely related to the strengthening of the inshore branch of the Taiwan Warm Current (TWC) and the weakening of the offshore TWC branch. These findings provide important insights into the underlying physical processes and diagnostic tools for monitoring and managing independent BMHWs in the ECS.","Gao, Jiaxiang; Zhang, Rong Hua; Zhi, Hai","3,4,10"
Differences in subsurface marine heatwave characteristics at two tropical South West Indian Ocean islands: influence of the south equatorial countercurrent and eddy activity,Climate Dynamics,2025-09-01,63,9,,10.1007/s00382-025-07862-x,ar,Article,0,2-s2.0-105016478381,,1,"Prolonged marine heatwaves (MHWs) around small island developing states can lead to severe ecological and socio-economic consequences. This study aims at characterizing subsurface MHWs and their potential drivers around the Seychelles and Comoros, rich in biodiversity and prominent to tropical cyclone intensification. Both regions show intensified MHWs in the thermocline, but with a higher intensity and duration in Seychelles. About 84% of subsurface MHWs in Comoros are independent of surface events, suggesting the importance of ocean dynamics whereas in Seychelles, this figure is only 57% due to a shallower thermocline which is more sensitive to atmospheric forcing. Favourable dynamics for subsurface MHWs and sea surface height (SSH) extremes in Comoros tending to occur in May–June include strengthening of the North East Madagascar Current, and prevailing downwelling winds, which deepen the thermocline. Subsurface MHWs and SSH extremes in Seychelles tend to be strongest in February–March but longest-lasting in November–December. In March, intense subsurface MHWs occur due to a relaxation of the winds and downwelling winds. In November–December, long-lasting subsurface MHWs seem linked to the intrusion of the South Equatorial Counter Current, mesoscale activity and downwelling Rossby waves. During the Indian Ocean Dipole events of 1997/98 and 2019/20, long-lived MHW intensities in Seychelles reached 9 °C. Long-lived subsurface MHWs have a higher SSH, and ocean heat content related to a deepening of the thermocline, but lower eddy kinetic energy, characterized by slow-moving and low amplitude anticyclonic eddies. These findings provide insights into the nature of short-lived and long-lived subsurface MHWs, necessary for understanding and mitigating their impacts.","Mawren, D.; Hermes, J.; Reason, C. J.C.","3,4,10"
