eid,title,journal,date,volume,issue,pages,doi,subtype,subtype_desc,citedby,pmid,open_access,abstract
2-s2.0-105020773892,PhD training needs a reboot in an AI world,Nature,2025-11-01,647,8088,27-28,10.1038/d41586-025-03572-w,no,Note,0,41184470,0,
2-s2.0-105010853473,Global Mean Sea Level Changes to ENSO-Related Regional Land Water Storage,Geophysical Research Letters,2025-07-28,52,14,,10.1029/2025GL115799,ar,Article,0,,1,"The 2010–2011 La Niña caused a sharp but temporary drop in global sea level due to increased rainfall and terrestrial water storage primarily in Australia. However, whether similar responses occurred in other La Niña events remains unclear. Here we investigate analogous impacts during other El Niño-Southern Oscillation (ENSO) events using available sea level height observations during 1993–2022. We find that ENSO consistently drives changes in terrestrial and oceanic precipitation, land water storage, and sea surface salinity. These changes cause temporary global sea level declines during La Niña and increases during El Niño, with the most pronounced variations occurring during the build-up phase of ENSO. A strong negative relationship between terrestrial precipitation and global mean sea level underscores the critical role of ENSO-driven global water redistribution. Northern South America consistently experienced water storage gains during La Niña and declines during El Niño, whereas water storage changes in Australia were inconsistent."
2-s2.0-105007228145,Drivers of the extreme North Atlantic marine heatwave during 2023,Nature,2025-06-19,642,8068,636-643,10.1038/s41586-025-08903-5,ar,Article,11,40468073,1,"North Atlantic Ocean circulation and temperature patterns profoundly influence global and regional climate across all timescales, from synoptic1 to seasonal2, 3–4, decadal5, multidecadal6,7 and beyond8,9. During 2023, an extreme and near-basin-scale marine heatwave developed during Northern Hemisphere summer, peaking in July. The warming spread across virtually all regions of the North Atlantic, including the subpolar ocean, where a cooling trend over the past 50–100 years has been linked to a slowdown in the meridional overturning circulation10,11. Yet the mechanisms that led to this exceptional surface ocean warming remain unclear. Here we use observationally constrained atmospheric reanalyses alongside ocean observations and model simulations to show that air–sea heat fluxes acting on an extremely shallow surface mixed layer, rather than anomalous ocean heat transport, were responsible for this extreme ocean warming event. The dominant driver is shown to be anomalously weak winds leading to strongly shoaling (shallowing) mixed layers, resulting in a rapid temperature increase in a shallow surface layer of the North Atlantic. Furthermore, solar radiation anomalies made regional-scale warming contributions in locations that approximately correspond to some of the region’s main shipping lanes, suggesting that reduced sulfate emissions could also have played a localized role. With a trend towards shallower mixed layers observed over recent decades, and projections that this will continue into the future, the severity of North Atlantic marine heatwaves is set to worsen."
2-s2.0-105000315200,"What makes a marine heatwave forecast useable, useful and used?",Progress in Oceanography,2025-06-01,234,,,10.1016/j.pocean.2025.103464,ar,Article,4,,0,"There is growing concern among decision makers in a warming world that increasing frequency and severity of extreme events, such as marine heatwaves, is making historical information less representative and useful. To aid decision making in a rapidly warming ocean, researchers have developed new forecast tools that can predict marine heatwaves on sub-seasonal to seasonal timescales. As demand from marine stakeholders increases for actionable information, effective transfer is paramount for uptake and response. Here we consider three aspects critical to aid this information transfer. The model system must be useful – having the appropriate model type, resolution, and domain, with model skill verified against observations. The forecasts must be useable with skill on timescales relevant to decision making, interpretable by end users, and delivered in a practical format. The forecast information must be used, which requires clear communication at appropriate levels, strong user engagement, and consideration of industry agility and incentives. Feedback between these three aspects is needed to ensure continuous improvement in the level of forecast usefulness, useability, and uptake. Forecasts are a critical tool in the management of climate risk and the framework we present here will be important for maintaining profitable and sustainable marine industries into the future."
2-s2.0-105001072405,Ocean extremes as a stress test for marine ecosystems and society,Nature Climate Change,2025-03-01,15,3,231-235,10.1038/s41558-025-02269-2,no,Note,12,,0,"In 2023–2024, widespread marine heatwaves associated with record ocean temperatures impacted ocean processes, marine species, ecosystems and coastal communities, with economic consequences. Despite warnings, interventions were limited. Proactive strategies are needed for inevitable future events."
2-s2.0-85212094014,Baseline matters: Challenges and implications of different marine heatwave baselines,Progress in Oceanography,2025-02-01,231,,,10.1016/j.pocean.2024.103404,ar,Article,23,,1,"Marine heatwaves (MHWs), prolonged periods of unusually high ocean temperatures, significantly impact global ecosystems. However, there is ongoing debate regarding the definition of these extreme events, which is crucial for effective research and communication among marine scientists, decision-makers, and the broader public. Fundamental to all MHW analyses is a clearly defined background oceanic climate – i.e., a temperature ‘baseline’ against which the MHW is defined. While a single approach to implementing a baseline may not be suitable for all MHW research applications, the choice of a baseline for analysing MHWs must be intentional as it affects research outcomes. This perspective examines baseline choices and discusses their implications for marine organism and ecosystem risks, and their relevance in communicating MHW characteristics and metrics to stakeholders, policymakers, and the public. In particular we analyse five different baseline approaches for computing MHW statistics, assess their technical differences, and discuss their ecological implications. Different baselines suggest widely different trends in MHW characteristics in a warming world. This would, for example, imply differences in future risk, reflective of marine organisms with different adaptive potential, thereby affecting recommendations for management strategies. We also examine the consequences of different baseline choices on ease of implementation and communication with wider audiences. Our analyses highlight the need to clearly specify a chosen baseline in MHW studies, and to be mindful of its implications for MHW statistics, practical considerations, and interpretations concerning the adaptive capacities of marine organisms, ecosystems and human systems. The challenges and implications of different MHW baselines highlighted here have similar relevance in research and communication for other branches of climate extremes."
2-s2.0-85212847001,Global Predictability of Marine Heatwave Induced Rapid Intensification of Tropical Cyclones,Earth S Future,2024-12-01,12,12,,10.1029/2024EF004935,ar,Article,5,,1,"Prediction of the rapid intensification (RI) of tropical cyclones (TCs) is crucial for improving disaster preparedness against storm hazards. These events can cause extensive damage to coastal areas if occurring close to landfall. Available models struggle to provide accurate RI estimates due to the complexity of underlying physical mechanisms. This study provides new insights into the prediction of a subset of rapidly intensifying TCs influenced by prolonged ocean warming events known as marine heatwaves (MHWs). MHWs could provide sufficient energy to supercharge TCs. Preconditioning by MHW led to RI of recent destructive TCs, Otis (2023), Doksuri (2023), and Ian (2022), with economic losses exceeding $150 billion. Here, we analyze the TC best track and sea surface temperature data from 1981 to 2023 to identify hotspot regions for compound events, where MHWs and RI of tropical cyclones occur concurrently or in succession. Building upon this, we propose an ensemble machine learning model for RI forecasting based on storm and MHW characteristics. This approach is particularly valuable as RI forecast errors are typically largest in favorable environments, such as those created by MHWs. Our study offers insight into predicting MHW TCs, which have been shown to be stronger TCs with potentially higher destructive power. Here, we show that using MHW predictors instead of the conventional method of using sea surface temperature reduces the false alarm rate by 30%. Overall, our findings contribute to coastal hazard risk awareness amidst unprecedented climate warming causing more frequent MHWs."
2-s2.0-85212710447,"Correction to: A global overview of marine heatwaves in a changing climate (Communications Earth & Environment, (2024), 5, 1, (701), 10.1038/s43247-024-01806-9)",Communications Earth and Environment,2024-12-01,5,1,,10.1038/s43247-024-01952-0,er,Erratum,0,,1,"Correction to: Communications Earth & Environmenthttps://doi.org/10.1038/s43247-024-01806-9, published online 20 November 2024 In the original version of this Article, the size of the figure in Box 2 was reduced, which made it difficult to read. The figure has now been repositioned to appear larger above the text, and a portion of the box text extends onto the following page. In addition, the figure of Box 1 had an extra label to the left side of panel b, which has now been removed. There is no change to the scientific content of the article. This has now been corrected in both the PDF and HTML versions of the Article."
2-s2.0-85211366592,How well do climate modes explain precipitation variability?,Npj Climate and Atmospheric Science,2024-12-01,7,1,,10.1038/s41612-024-00853-5,ar,Article,11,,1,"Large-scale modes of climate variability, such as the El Niño-Southern Oscillation, North Atlantic Oscillation, and Indian Ocean Dipole, show significant regional correlations with seasonal weather conditions, and are routinely forecast by meteorological agencies attempting to anticipate seasonal precipitation patterns. Here, we use machine learning together with more traditional approaches to quantify how much precipitation variability can be explained by large-scale modes of variability, and to understand the degree to which these modes interact non-linearly. We find that the relationship between climate modes and precipitation is predominantly non-linear. In some regions and seasons climate modes can explain up to 80% of precipitation variability. However, variability explained is below 10% for more than half of the land surface, and only 1% of the land shows values above 50%. This outcome provides a clear rationale to limit expectations of predictability from modes of variability in all but a few select regions and seasons."
2-s2.0-85209747632,A global overview of marine heatwaves in a changing climate,Communications Earth and Environment,2024-12-01,5,1,,10.1038/s43247-024-01806-9,re,Review,50,,1,"Marine heatwaves have profoundly impacted marine ecosystems over large areas of the world oceans, calling for improved understanding of their dynamics and predictability. Here, we critically review the recent substantial advances in this active area of research, including the exploration of the three-dimensional structure and evolution of these extremes, their drivers, their connection with other extremes in the ocean and over land, future projections, and assessment of their predictability and current prediction skill. To make progress on predicting and projecting marine heatwaves and their impacts, a more complete mechanistic understanding of these extremes over the full ocean depth and at the relevant spatial and temporal scales is needed, together with models that can realistically capture the leading mechanisms at those scales. Sustained observing systems, as well as measuring platforms that can be rapidly deployed, are essential to achieve comprehensive event characterizations while also chronicling the evolving nature of these extremes and their impacts in our changing climate."
