Date,Extent
1979-01-01,15.41
1979-02-01,16.18
1979-03-01,16.34
1979-04-01,15.45
1979-05-01,13.86
1979-06-01,12.53
1979-07-01,10.31
1979-08-01,8.04
1979-09-01,7.05
1979-10-01,8.75
1979-11-01,10.94
1979-12-01,13.34
1980-01-01,14.86
1980-02-01,15.96
1980-03-01,16.04
1980-04-01,15.43
1980-05-01,13.79
1980-06-01,12.2
1980-07-01,10.1
1980-08-01,7.98
1980-09-01,7.67
1980-10-01,9.18
1980-11-01,11.38
1980-12-01,13.59
1981-01-01,14.91
1981-02-01,15.6
1981-03-01,15.63
1981-04-01,15.01
1981-05-01,13.8
1981-06-01,12.43
1981-07-01,10.27
1981-08-01,7.84
1981-09-01,7.14
1981-10-01,8.86
1981-11-01,10.93
1981-12-01,13.34
1982-01-01,15.18
1982-02-01,15.97
1982-03-01,16.04
1982-04-01,15.47
1982-05-01,13.97
1982-06-01,12.48
1982-07-01,10.37
1982-08-01,8.14
1982-09-01,7.3
1982-10-01,9.42
1982-11-01,11.63
1982-12-01,13.64
1983-01-01,14.94
1983-02-01,16.01
1983-03-01,16.09
1983-04-01,15.17
1983-05-01,13.49
1983-06-01,12.3
1983-07-01,10.57
1983-08-01,8.19
1983-09-01,7.39
1983-10-01,9.33
1983-11-01,11.46
1983-12-01,13.3
1984-01-01,14.47
1984-02-01,15.3
1984-03-01,15.58
1984-04-01,15.01
1984-05-01,13.58
1984-06-01,12.15
1984-07-01,9.98
1984-08-01,7.77
1984-09-01,6.81
1984-10-01,8.56
1984-11-01,10.84
1984-12-01,12.99
1985-01-01,14.72
1985-02-01,15.47
1985-03-01,15.89
1985-04-01,15.36
1985-05-01,14.07
1985-06-01,12.22
1985-07-01,9.74
1985-08-01,7.4
1985-09-01,6.7
1985-10-01,8.55
1985-11-01,11.02
1985-12-01,13.05
1986-01-01,14.89
1986-02-01,15.78
1986-03-01,15.91
1986-04-01,15.06
1986-05-01,13.38
1986-06-01,11.98
1986-07-01,10.15
1986-08-01,7.98
1986-09-01,7.41
1986-10-01,9.48
1986-11-01,11.45
1986-12-01,13.22
1987-01-01,14.97
1987-02-01,16.05
1987-03-01,15.82
1987-04-01,15.21
1987-05-01,13.74
1987-06-01,12.49
1987-07-01,10.33
1987-08-01,7.63
1987-09-01,7.28
1987-10-01,9.05
1987-11-01,11.22
1987-12-01,-9999.0
1988-01-01,-9999.0
1988-02-01,15.58
1988-03-01,15.96
1988-04-01,15.12
1988-05-01,13.56
1988-06-01,11.94
1988-07-01,9.81
1988-08-01,7.89
1988-09-01,7.37
1988-10-01,9.13
1988-11-01,11.33
1988-12-01,13.63
1989-01-01,14.95
1989-02-01,15.5
1989-03-01,15.42
1989-04-01,14.33
1989-05-01,13.04
1989-06-01,12.24
1989-07-01,10.13
1989-08-01,7.88
1989-09-01,7.01
1989-10-01,8.83
1989-11-01,11.12
1989-12-01,13.39
1990-01-01,14.78
1990-02-01,15.58
1990-03-01,15.87
1990-04-01,14.65
1990-05-01,13.23
1990-06-01,11.64
1990-07-01,9.25
1990-08-01,6.8
1990-09-01,6.14
1990-10-01,8.48
1990-11-01,11.08
1990-12-01,13.11
1991-01-01,14.36
1991-02-01,15.25
1991-03-01,15.42
1991-04-01,14.86
1991-05-01,13.47
1991-06-01,12.11
1991-07-01,9.51
1991-08-01,7.42
1991-09-01,6.47
1991-10-01,8.54
1991-11-01,10.88
1991-12-01,12.95
1992-01-01,14.64
1992-02-01,15.46
1992-03-01,15.48
1992-04-01,14.68
1992-05-01,13.22
1992-06-01,12.15
1992-07-01,10.32
1992-08-01,7.93
1992-09-01,7.47
1992-10-01,9.32
1992-11-01,11.38
1992-12-01,13.41
1993-01-01,14.9
1993-02-01,15.69
1993-03-01,15.81
1993-04-01,15.08
1993-05-01,13.37
1993-06-01,11.87
1993-07-01,9.48
1993-08-01,7.33
1993-09-01,6.4
1993-10-01,8.79
1993-11-01,11.32
1993-12-01,13.32
1994-01-01,14.73
1994-02-01,15.56
