Date,T2m_Anomaly
1940-01-01,11.721
1940-01-02,11.661
1940-01-03,11.661
1940-01-04,11.678
1940-01-05,11.605
1940-01-06,11.519
1940-01-07,11.492
1940-01-08,11.459
1940-01-09,11.349
1940-01-10,11.352
1940-01-11,11.405
1940-01-12,11.451
1940-01-13,11.567
1940-01-14,11.592
1940-01-15,11.522
1940-01-16,11.47
1940-01-17,11.478
1940-01-18,11.527
1940-01-19,11.518
1940-01-20,11.52
1940-01-21,11.49
1940-01-22,11.476
1940-01-23,11.462
1940-01-24,11.395
1940-01-25,11.342
1940-01-26,11.369
1940-01-27,11.417
1940-01-28,11.451
1940-01-29,11.435
1940-01-30,11.497
1940-01-31,11.499
1940-02-01,11.504
1940-02-02,11.504
1940-02-03,11.445
1940-02-04,11.507
1940-02-05,11.577
1940-02-06,11.61
1940-02-07,11.629
1940-02-08,11.666
1940-02-09,11.623
1940-02-10,11.642
1940-02-11,11.705
1940-02-12,11.716
1940-02-13,11.705
1940-02-14,11.758
1940-02-15,11.794
1940-02-16,11.861
1940-02-17,11.972
1940-02-18,12.086
1940-02-19,12.115
1940-02-20,12.109
1940-02-21,12.105
1940-02-22,12.105
1940-02-23,12.098
1940-02-24,12.133
1940-02-25,12.205
1940-02-26,12.247
1940-02-27,12.25
1940-02-28,12.282
1940-02-29,12.323
1940-03-01,12.33
1940-03-02,12.288
1940-03-03,12.327
1940-03-04,12.352
1940-03-05,12.411
1940-03-06,12.452
1940-03-07,12.439
1940-03-08,12.437
1940-03-09,12.401
1940-03-10,12.35
1940-03-11,12.289
1940-03-12,12.259
1940-03-13,12.259
1940-03-14,12.293
1940-03-15,12.414
1940-03-16,12.55
1940-03-17,12.627
1940-03-18,12.63
1940-03-19,12.613
1940-03-20,12.592
1940-03-21,12.6
1940-03-22,12.583
1940-03-23,12.569
1940-03-24,12.553
1940-03-25,12.555
1940-03-26,12.615
1940-03-27,12.724
1940-03-28,12.837
1940-03-29,12.966
1940-03-30,12.969
1940-03-31,13.002
1940-04-01,13.102
1940-04-02,13.188
1940-04-03,13.269
1940-04-04,13.341
1940-04-05,13.383
1940-04-06,13.441
1940-04-07,13.557
1940-04-08,13.651
1940-04-09,13.62
1940-04-10,13.634
1940-04-11,13.625
1940-04-12,13.583
1940-04-13,13.608
1940-04-14,13.647
1940-04-15,13.751
1940-04-16,13.835
1940-04-17,13.888
1940-04-18,13.94
1940-04-19,13.96
1940-04-20,14.001
1940-04-21,13.995
1940-04-22,13.994
1940-04-23,13.985
1940-04-24,13.994
1940-04-25,13.995
1940-04-26,14.081
1940-04-27,14.153
1940-04-28,14.144
1940-04-29,14.17
1940-04-30,14.173
1940-05-01,14.215
1940-05-02,14.234
1940-05-03,14.238
1940-05-04,14.305
1940-05-05,14.299
1940-05-06,14.354
1940-05-07,14.457
1940-05-08,14.511
1940-05-09,14.572
1940-05-10,14.675
1940-05-11,14.629
1940-05-12,14.627
1940-05-13,14.619
1940-05-14,14.623
1940-05-15,14.705
1940-05-16,14.751
1940-05-17,14.822
1940-05-18,14.88
1940-05-19,14.968
1940-05-20,15.043
1940-05-21,15.047
1940-05-22,15.032
1940-05-23,15.058
1940-05-24,15.06
1940-05-25,15.049
1940-05-26,15.038
1940-05-27,15.011
1940-05-28,15.046
1940-05-29,15.098
1940-05-30,15.093
1940-05-31,15.103
1940-06-01,15.102
1940-06-02,15.014
1940-06-03,14.969
1940-06-04,15.009
1940-06-05,15.056
1940-06-06,15.086
1940-06-07,15.09
1940-06-08,15.038
1940-06-09,15.059
1940-06-10,15.139
1940-06-11,15.208
1940-06-12,15.274
1940-06-13,15.331
1940-06-14,15.337
1940-06-15,15.357
1940-06-16,15.323
1940-06-17,15.358
1940-06-18,15.384
1940-06-19,15.419
1940-06-20,15.375
1940-06-21,15.362
1940-06-22,15.424
1940-06-23,15.455
1940-06-24,15.524
1940-06-25,15.589
1940-06-26,15.626
1940-06-27,15.689
1940-06-28,15.683
1940-06-29,15.639
1940-06-30,15.596
1940-07-01,15.581
1940-07-02,15.625
1940-07-03,15.676
1940-07-04,15.759
1940-07-05,15.795
1940-07-06,15.806
1940-07-07,15.846
1940-07-08,15.867
1940-07-09,15.831
1940-07-10,15.816
1940-07-11,15.894
1940-07-12,15.927
1940-07-13,15.892
1940-07-14,15.811
1940-07-15,15.7
1940-07-16,15.681
1940-07-17,15.71
1940-07-18,15.676
1940-07-19,15.693
1940-07-20,15.744
1940-07-21,15.786
1940-07-22,15.799
1940-07-23,15.802
1940-07-24,15.791
1940-07-25,15.784
1940-07-26,15.802
1940-07-27,15.778
1940-07-28,15.776
1940-07-29,15.801
1940-07-30,15.874
1940-07-31,15.882
1940-08-01,15.86
1940-08-02,15.806
1940-08-03,15.726
1940-08-04,15.754
1940-08-05,15.798
1940-08-06,15.78
1940-08-07,15.706
1940-08-08,15.689
1940-08-09,15.667
1940-08-10,15.72
1940-08-11,15.776
1940-08-12,15.716
1940-08-13,15.688
1940-08-14,15.688
1940-08-15,15.721
1940-08-16,15.711
1940-08-17,15.605
1940-08-18,15.561
1940-08-19,15.541
1940-08-20,15.541
1940-08-21,15.549
1940-08-22,15.569
1940-08-23,15.534
1940-08-24,15.483
1940-08-25,15.512
1940-08-26,15.464
1940-08-27,15.451
1940-08-28,15.452
1940-08-29,15.38
1940-08-30,15.336
1940-08-31,15.314
1940-09-01,15.282
1940-09-02,15.298
1940-09-03,15.227
1940-09-04,15.153
1940-09-05,15.132
1940-09-06,15.047
1940-09-07,14.98
1940-09-08,14.936
1940-09-09,14.91
1940-09-10,14.869
1940-09-11,14.764
1940-09-12,14.709
1940-09-13,14.768
1940-09-14,14.871
1940-09-15,14.943
1940-09-16,14.957
1940-09-17,14.965
1940-09-18,14.967
1940-09-19,14.947
1940-09-20,14.884
1940-09-21,14.819
1940-09-22,14.732
1940-09-23,14.623
1940-09-24,14.565
1940-09-25,14.468
1940-09-26,14.372
1940-09-27,14.351
1940-09-28,14.313
1940-09-29,14.289
1940-09-30,14.292
1940-10-01,14.252
1940-10-02,14.179
1940-10-03,14.122
1940-10-04,14.12
1940-10-05,14.1
1940-10-06,14.137
1940-10-07,14.086
1940-10-08,14.012
1940-10-09,13.938
1940-10-10,13.913
1940-10-11,13.87
1940-10-12,13.864
1940-10-13,13.888
1940-10-14,13.818
1940-10-15,13.724
1940-10-16,13.594
1940-10-17,13.533
1940-10-18,13.442
1940-10-19,13.365
1940-10-20,13.37
1940-10-21,13.387
1940-10-22,13.359
1940-10-23,13.329
1940-10-24,13.325
1940-10-25,13.205
1940-10-26,13.145
1940-10-27,13.138
1940-10-28,13.159
1940-10-29,13.144
1940-10-30,13.103
1940-10-31,13.055
1940-11-01,13.011
1940-11-02,12.912
1940-11-03,12.829
1940-11-04,12.783
1940-11-05,12.752
1940-11-06,12.7
1940-11-07,12.681
1940-11-08,12.656
1940-11-09,12.61
1940-11-10,12.615
1940-11-11,12.561
1940-11-12,12.505
1940-11-13,12.472
1940-11-14,12.513
1940-11-15,12.556
1940-11-16,12.621
1940-11-17,12.651
1940-11-18,12.693
1940-11-19,12.705
1940-11-20,12.691
1940-11-21,12.666
1940-11-22,12.601
1940-11-23,12.578
1940-11-24,12.569
1940-11-25,12.483
1940-11-26,12.433
1940-11-27,12.425
1940-11-28,12.393
1940-11-29,12.364
1940-11-30,12.294
1940-12-01,12.239
1940-12-02,12.175
1940-12-03,12.213
1940-12-04,12.201
1940-12-05,12.224
1940-12-06,12.25
1940-12-07,12.258
1940-12-08,12.229
1940-12-09,12.195
1940-12-10,12.154
1940-12-11,12.086
1940-12-12,12.011
1940-12-13,11.953
1940-12-14,11.882
1940-12-15,11.878
1940-12-16,11.862
1940-12-17,11.828
1940-12-18,11.852
1940-12-19,11.882
1940-12-20,11.92
1940-12-21,11.986
1940-12-22,12.044
1940-12-23,12.093
1940-12-24,12.089
1940-12-25,12.125
1940-12-26,12.183
1940-12-27,12.175
1940-12-28,12.092
1940-12-29,12.015
1940-12-30,11.978
1940-12-31,11.924
1941-01-01,11.816
1941-01-02,11.806
1941-01-03,11.782
1941-01-04,11.722
1941-01-05,11.628
1941-01-06,11.706
1941-01-07,11.759
1941-01-08,11.805
1941-01-09,11.797
1941-01-10,11.835
1941-01-11,11.855
1941-01-12,11.81
1941-01-13,11.82
1941-01-14,11.795
1941-01-15,11.742
1941-01-16,11.736
1941-01-17,11.757
1941-01-18,11.745
1941-01-19,11.674
1941-01-20,11.706
1941-01-21,11.712
1941-01-22,11.744
1941-01-23,11.756
1941-01-24,11.695
1941-01-25,11.723
1941-01-26,11.761
1941-01-27,11.746
1941-01-28,11.759
1941-01-29,11.779
1941-01-30,11.788
1941-01-31,11.802
1941-02-01,11.79
1941-02-02,11.829
1941-02-03,11.876
1941-02-04,11.907
1941-02-05,11.906
1941-02-06,11.875
1941-02-07,11.85
1941-02-08,11.889
1941-02-09,11.906
1941-02-10,11.944
1941-02-11,12.076
1941-02-12,12.177
1941-02-13,12.252
1941-02-14,12.339
1941-02-15,12.389
1941-02-16,12.443
1941-02-17,12.54
1941-02-18,12.53
1941-02-19,12.481
1941-02-20,12.521
1941-02-21,12.526
1941-02-22,12.419
1941-02-23,12.35
1941-02-24,12.294
1941-02-25,12.264
1941-02-26,12.252
1941-02-27,12.277
1941-02-28,12.297
1941-03-01,12.286
1941-03-02,12.28
1941-03-03,12.264
1941-03-04,12.268
1941-03-05,12.287
1941-03-06,12.363
1941-03-07,12.466
1941-03-08,12.556
1941-03-09,12.557
1941-03-10,12.518
1941-03-11,12.505
1941-03-12,12.521
1941-03-13,12.585
1941-03-14,12.674
1941-03-15,12.733
1941-03-16,12.807
1941-03-17,12.747
1941-03-18,12.765
1941-03-19,12.869
1941-03-20,12.881
1941-03-21,12.827
1941-03-22,12.834
1941-03-23,12.828
1941-03-24,12.887
1941-03-25,13.005
1941-03-26,13.009
1941-03-27,13.038
1941-03-28,13.04
1941-03-29,13.024
1941-03-30,13.049
1941-03-31,13.11
1941-04-01,13.145
1941-04-02,13.136
1941-04-03,13.106
1941-04-04,13.152
1941-04-05,13.169
1941-04-06,13.133
1941-04-07,13.154
1941-04-08,13.222
1941-04-09,13.249
1941-04-10,13.296
1941-04-11,13.352
1941-04-12,13.389
1941-04-13,13.436
1941-04-14,13.542
1941-04-15,13.603
1941-04-16,13.64
1941-04-17,13.58
1941-04-18,13.567
1941-04-19,13.669
1941-04-20,13.753
1941-04-21,13.754
1941-04-22,13.747
1941-04-23,13.839
1941-04-24,13.887
1941-04-25,13.927
1941-04-26,13.957
1941-04-27,13.982
1941-04-28,13.983
1941-04-29,14.115
1941-04-30,14.196
1941-05-01,14.242
1941-05-02,14.297
1941-05-03,14.305
1941-05-04,14.264
1941-05-05,14.264
1941-05-06,14.258
1941-05-07,14.313
1941-05-08,14.33
1941-05-09,14.341
1941-05-10,14.372
1941-05-11,14.429
1941-05-12,14.478
1941-05-13,14.525
1941-05-14,14.653
1941-05-15,14.711
1941-05-16,14.769
1941-05-17,14.788
1941-05-18,14.729
1941-05-19,14.677
1941-05-20,14.727
1941-05-21,14.851
1941-05-22,14.932
1941-05-23,14.942
1941-05-24,14.94
1941-05-25,14.919
1941-05-26,14.937
1941-05-27,14.973
1941-05-28,15.025
1941-05-29,15.081
1941-05-30,15.092
1941-05-31,15.172
1941-06-01,15.293
1941-06-02,15.382
1941-06-03,15.376
1941-06-04,15.403
1941-06-05,15.436
1941-06-06,15.432
1941-06-07,15.406
1941-06-08,15.426
1941-06-09,15.415
1941-06-10,15.433
1941-06-11,15.524
1941-06-12,15.576
1941-06-13,15.55
1941-06-14,15.509
1941-06-15,15.458
1941-06-16,15.415
1941-06-17,15.419
1941-06-18,15.447
1941-06-19,15.462
1941-06-20,15.509
1941-06-21,15.567
1941-06-22,15.593
1941-06-23,15.647
1941-06-24,15.648
1941-06-25,15.57
1941-06-26,15.58
1941-06-27,15.598
1941-06-28,15.585
1941-06-29,15.548
1941-06-30,15.563
1941-07-01,15.596
1941-07-02,15.607
1941-07-03,15.594
1941-07-04,15.547
1941-07-05,15.509
1941-07-06,15.508
1941-07-07,15.584
1941-07-08,15.645
1941-07-09,15.739
1941-07-10,15.781
1941-07-11,15.758
1941-07-12,15.695
1941-07-13,15.702
1941-07-14,15.699
1941-07-15,15.671
1941-07-16,15.626
1941-07-17,15.633
1941-07-18,15.652
1941-07-19,15.64
1941-07-20,15.665
1941-07-21,15.737
1941-07-22,15.748
1941-07-23,15.773
1941-07-24,15.792
1941-07-25,15.77
1941-07-26,15.726
1941-07-27,15.712
1941-07-28,15.738
1941-07-29,15.811
1941-07-30,15.819
1941-07-31,15.824
1941-08-01,15.868
1941-08-02,15.836
1941-08-03,15.844
1941-08-04,15.855
1941-08-05,15.837
1941-08-06,15.85
1941-08-07,15.844
1941-08-08,15.891
1941-08-09,15.948
1941-08-10,15.93
1941-08-11,15.864
1941-08-12,15.849
1941-08-13,15.752
1941-08-14,15.654
1941-08-15,15.622
1941-08-16,15.64
1941-08-17,15.63
1941-08-18,15.574
1941-08-19,15.533
1941-08-20,15.495
