dc:title,prism:publicationName,prism:coverDate,prism:volume,prism:issueIdentifier,prism:pageRange,prism:doi,subtype,subtypeDescription,citedby-count,eid,pubmed-id,openaccess,abstract,authors,themes
Extreme temperature events reshuffle the ecological landscape of the Southern Ocean,Nature Communications,2026-12-01,17,1,,10.1038/s41467-025-68029-0,ar,Article,1,2-s2.0-105029241809,41469522,1,"Extreme temperature events are becoming widespread with global warming, impacting phytoplankton, the foundation of the marine ecosystem. In the Southern Ocean, these impacts are not well understood, despite the key role of phytoplankton in global carbon cycling and climate. Here, we use 26 years of satellite observations and confirm previously identified impacts of marine heatwaves (MHWs) on phytoplankton in the Southern Ocean, while systematically comparing the opposite impacts of marine cold spells (MCSs). MHWs decrease phytoplankton chlorophyll-a (Chl-a) in subtropical regions (−21.11%) but less so in polar regions, with Chl-a even increasing in the Sub-Antarctic Zone (+ 22.26%). MCSs exhibit opposite patterns, enhancing Chl-a in subtropical regions (+ 32.37%) while inhibiting it in southern regions (−21.19%). These regional differences in Chl-a anomalies are mediated by distinct responses in phytoplankton size composition to MHWs and MCSs. As extreme events intensify with global warming, Southern Ocean’s phytoplankton will be disrupted, with implications for global biogeochemical cycles. These findings highlight the importance of simultaneously considering both MHWs and MCSs when assessing the ecological impacts of climate extremes.","Bai, Zhimin; Deng, Lin; Brewin, Robert J.W.; He, Wenbo; Chunpi, Qilin; Zhao, Jun",
"Heatwaves beneath the ice: organ-specific physiological responses in the Antarctic emerald rockcod, Trematomus bernacchii (Boulenger, 1902)",Comparative Biochemistry and Physiology Part C Toxicology and Pharmacology,2026-07-01,305,,,10.1016/j.cbpc.2026.110509,ar,Article,0,2-s2.0-105032423507,,1,"Over the past few decades, the climate has undergone significant transformations, with increasing temperatures emerging as one of the most critical threats to marine ecosystems. Mounting evidence of marine heatwaves (MHWs) events in the Southern Ocean and Antarctic region has intensified scientific efforts, revealing that these fragile ecosystems may act as crucial early indicators of wider climate-driven changes in marine environments' biodiversity. This study explores the transcriptional responses of Trematomus bernacchii to thermal stress, focusing on the liver and spleen, key organs in immune defence and metabolic regulation. Adult specimens (total n = 30) were collected from Terra Nova Bay (Ross Sea) during the austral summer (late October 2022) and exposed to a temperature gradient, mimicking MHWs, ranging from 0 °C to +3 °C; a separate control group was maintained at 0 °C. Expression levels of antioxidant-related genes ( prdx3 , prdx5 , cat , sod1 , sod2 , gpx1 , gpx3 , gpx4 ) along with two innate immunity genes ( tlr2 and tlr9 ) were analysed in liver and spleen tissues from five biological replicates. The liver showed an early and dynamic response: gpxs , sod2 , Prdxs , and tlrs were upregulated at +1 °C and +2 °C but downregulated at +3 °C, suggesting early mitochondrial antioxidant response and immune activation. In contrast, the spleen remained largely unresponsive at mild stress levels, with marked activation of gpx1 , sods , Prdxs , and tlrs only at +3 °C. Cat remained unresponsive to thermal stress. These results indicate a delayed but coordinated response, suggesting an energy-conservation mechanism under increasing thermal stress. They underscore the limited plasticity of polar fish physiology and offer molecular insights into the vulnerability of Antarctic marine species in a warming climate.","Piva, Elisabetta; Kholdihaghighi, Shaghayegh; Ametrano, Alessia; Schumann, Sophia; Pacchini, Sara; Cortese, Martina; Drago, Laura; Baroni, Fabio; Fogliano, Chiara; Coscia, Maria Rosaria; Irato, Paola; Santovito, Gianfranco",
Characterising marine heatwaves in the Svalbard Archipelago and surrounding seas,Ocean Science,2026-02-12,22,1,587-607,10.5194/os-22-587-2026,ar,Article,0,2-s2.0-105030127601,,1,"In the Arctic Ocean, satellite-based sea surface temperature data shows that marine heatwave (MHW) intensity, frequency, duration and coverage have increased significantly in recent decades, raising concern for Arctic ecosystems. A high frequency (more than three events per year) of MHWs has been shown around the Svalbard Archipelago. Based on this, we investigate MHW trends around Svalbard at the surface and subsurface, using a regional reanalysis from TOPAZ (1991–2022). We find an increase in the frequency and duration of MHW events around the Svalbard Archipelago over the last decade. Focussing on a region west of Svalbard, we observe an increase in MHW frequency and duration, associated with a long-term rise in sea surface temperature in the region. Analysis of eight individual summer (June–September) MHW events lasting longer than 10 d west of Svalbard, indicated the presence of four shallow (≤50 m) and four deep (>50 m) MHWs after 2010, with a mean duration of 29 d. Some events extended into the Barents Sea. Heat budget analysis demonstrated a greater contribution of ocean heat transport compared to air-sea heat fluxes in driving the MHW events. Deep and shallow events were associated with ocean heat transport anomalies of up to 9 TW. This new understanding of MHW characteristics, including their horizontal and vertical distribution, is key to assessing ecological impacts.","Williams-Kerslake, Marianne; Langehaug, Helene R.; Skogseth, Ragnheid; Nilsen, Frank; Samuelsen, Annette; Gonzalez, Silvana; Keenlyside, Noel",
"Southern Ocean marine heatwaves: variability, hotspots and teleconnections",Journal of Oceanography,2026-02-01,82,1,1-24,10.1007/s10872-025-00769-5,ar,Article,1,2-s2.0-105011031429,,0,"Marine heatwaves (MHW) are increasingly recognized for their ecological and climatic impacts, yet their behavior in the Southern Ocean (SO)—a key component of the global climate system—remains understudied. This study investigates the spatial and temporal variability of SO MHW from 1982 to 2022, focusing on two regional hotspots: the Western Pacific (WP) and North Ross Sea (NRS), highlighting regional dynamics, variability, and the influence of large-scale climate modes. SO exhibited weaker long-term MHW trends compared to the global average, but a marked intensification (frequency + 0.36 events/decade, + 15 days/decade) in the last decade signals a recent shift under warming conditions. Regionally, NRS experienced stronger austral summer MHW intensity, while WP showed more frequent but less intense events in austral winter, indicating seasonal responses. A strong correlation between SST variance and MHW frequency in WP (R ≈ 0.85–0.86), and moderate correlation in NRS (R ≈ 0.78), highlights the role of background variability. ENSO moderately influenced NRS MHW frequency and days, whereas WP showed weaker teleconnection signatures. The Southern-Annular Mode (SAM) negatively correlated with MHW intensity and duration in NRS, during austral autumn, through wind-driven processes, including enhanced westerlies and Ekman transport, promoting cold-water upwelling and mixing. These mechanisms reduce surface warming and stratification, suppressing MHW development. EOF PC1 reflects large-scale variability (e.g., ENSO), while PC2 isolates polar-amplified signals near hotspots. Such decomposition improves understanding of how SST anomalies and MHW extremes co-evolve under climate forcing. This study underscores the importance of large-scale climate modes and regional processes in shaping SO MHW characteristics.","Gurumoorthi, K.; Luis, Alvarinho J.",
A decade of continuous Rockall Trough transport observations using moorings and gliders,Ocean Science,2026-01-16,22,1,167-185,10.5194/os-22-167-2026,ar,Article,0,2-s2.0-105027973036,,1,"The Rockall Trough, northwest of Scotland and Ireland, is a key conduit for the North Atlantic Current (NAC) and European Slope Current (ESC) transporting heat and salt toward the Nordic Seas and Arctic Ocean while mediating exchanges between the open ocean and the European shelf. We present a decade-long record of Rockall Trough circulation from the Ellett Array providing the first continuous estimates of heat and freshwater transport between 2014 and 2024. We develop a methodology that combines the high spatial resolution of gliders with the high temporal resolution of moorings and ocean reanalysis output producing continuous eastern boundary velocity fields of the ESC for integration into the full Rockall Trough transport product. This approach improves the mean structure of the ESC, capturing the southward undercurrent previously unresolved and enhancing the ability to reproduce extreme, likely mesoscale, transport events. The Rockall Trough transport is dominated by the NAC flowing through the mid basin, exhibiting multi-year variability consistent with changes in the subpolar gyre and the mid-2010s cold freshwater anomaly. The ESC acts as a secondary driver, is not correlated with the NAC and is influenced by along-slope wind stress. Since 2022, warmer and saltier conditions, amplified by the 2023 extreme North Atlantic marine heatwave, have strengthened northward volume, heat, and salt transport through the Ellett Array. Our results highlight the value of sustained glider-based boundary current observations for Atlantic climate monitoring and demonstrate that the combined mooring–glider framework provides a robust and transferable approach for long-term ocean transport monitoring.","Burmeister, Kristin; Jones, Sam C.; Fraser, Neil J.; Fox, Alan D.; Cunningham, Stuart A.; Drysdale, Lewis A.; Inall, Mark E.; Dotto, Tiago S.; Holliday, N. Penny",
Evaluation of coupled and uncoupled ocean–ice–atmosphere simulations using icon-2024.07 and NEMOv4.2.0 for the EURO-CORDEX domain,Geoscientific Model Development,2026-01-15,19,1,543-578,10.5194/gmd-19-543-2026,ar,Article,0,2-s2.0-105028029313,,1,"Evaluation results from the reanalysis-driven (ERA5/ORAS5) simulation for the years 1979–2021 with a regional coupled ocean–atmosphere model (ROAM) are presented. The coupled setup portrayed here is one of the first regional climate modeling systems to couple the ICON atmosphere model in climate limited-area mode (CLM) with the ocean model NEMO for the North and Baltic Sea (NBS), using a flux-based OASIS3-MCT coupling approach. Along with the simulation using the coupled model configuration ROAM-NBS, the simulations with the uncoupled components (ICON-CLM and NEMO-NBS, respectively) are analyzed and compared with various observational datasets. ROAM-NBS complements atmosphere-only climate projections with the same atmospheric model and setup, which will all be published in accordance with EURO-CORDEX specifications. Climate projections by ROAM-NBS will enrich the data available to support the German Strategy for Adaptation to Climate Change (DAS), especially for our target region, which are the German national waters. In general, the mean model climate is well represented by all setups. The sea surface temperature (SST) bias is, on average, about ±0.5 K. Differences in fluxes and precipitation over the ocean between the coupled and uncoupled simulations are largely related to SST differences. However, the mean influence on the land areas is negligible. The evaluations of ocean variables indicate a strong agreement between ROAM-NBS and NEMO-NBS. Compared to observations, both simulations overestimate sea ice concentration and extent. Mean temperature and salinity profiles in the Baltic Sea are generally reproduced by both simulations, with biases in the deeper layers. Major inflow events are captured but underestimated. Sea surface height and storm surge highly coincide with observational data, with NEMO-NBS slightly outperforming ROAM-NBS in terms of correlation. The marine heat wave (MHW) evaluation against observations in the North and Baltic Sea demonstrates that the simulations capture the inter-annual variability of MHW characteristics. Overall, the coupled simulation demonstrates adequate performance for both the atmosphere and the ocean, and the setup will be used to produce coupled regional climate projections for Europe. However, bias correction for the deeper Baltic layers remains necessary for further applications, and future work will focus on refining the setup for this region.","Maurer, Vera; Düsterhöft-Wriggers, Wibke; Beddig, Rebekka; Meyer, Janna; Hinrichs, Claudia; Ho-Hagemann, Ha Thi Minh; Staneva, Joanna; Ehlers, Birte Marie; Janssen, Frank",
Compounded effects of long-term warming and the exceptional 2023 marine heatwave on North Atlantic coccolithophore bloom dynamics,Ocean Science,2026-01-14,22,1,145-166,10.5194/os-22-145-2026,ar,Article,0,2-s2.0-105027965626,,1,"The North Atlantic is undergoing rapid ecological evolution under the influence of both long-term warming and the increasing frequency of marine heatwaves. In 2023, the North Atlantic experienced record-breaking sea surface temperature anomalies, exceeding +5 °C regionally and lasting several months. Using 25 years of satellite-derived particulate inorganic carbon data (1998–2023), we assess the response of coccolithophore blooms across two biogeographical boundaries: the Celtic Sea and the Barents Sea. We show that the 2023 marine heatwave led to reduced bloom intensity and fragmentation in the Celtic Sea, while leading to record-high intensity and extent in the Barents Sea. These contrasting responses are modulated by long-term sea surface temperature trends, upper-ocean stratification, and polar front shifts. Our findings suggest a spatial shift of coccolithophore blooms with potential implications for the carbon cycle under long-term warming and stratification.","Guinaldo, Thibault; Neukermans, Griet",
Marine Heatwaves Enable High-Latitude Maintenance of Super Typhoons: The Role of Deep Ocean Stratification and Cold-Wake Mitigation,Journal of Marine Science and Engineering,2026-01-01,14,2,,10.3390/jmse14020191,ar,Article,0,2-s2.0-105028580344,,1,"Tropical cyclones typically weaken rapidly during poleward propagation due to decreasing sea surface temperatures and increasing vertical wind shear. Super Typhoon Oscar (1995) deviated from this pattern by maintaining Category-5 intensity at an anomalously high latitude. This study investigates the oceanic mechanisms driving this resilience by integrating satellite SST data with atmospheric (ERA5) and oceanic (HYCOM) reanalysis products. Our analysis shows that the storm track intersected a persistent marine heatwave (MHW) characterized by a deep thermal anomaly extending to approximately 150 m. This elevated heat content formed a strong stratification barrier at the base of the mixed layer (~32 m) that prevented the typical entrainment of cold thermocline water. Instead, storm-induced turbulence mixed warm subsurface water upward to effectively mitigate the negative cold-wake feedback. This process sustained extreme upward enthalpy fluxes exceeding 210 W m−2 and generated a regime of thermodynamic compensation that enabled the storm to maintain its structure despite an unfavorable atmospheric environment with moderate-to-strong vertical wind shear (15–20 m s−1). These results indicate that the three-dimensional ocean structure acts as a more reliable predictor of typhoon intensity than SST alone in regions affected by MHWs. As MHWs deepen under climate warming, this cold-wake mitigation mechanism is likely to become a significant factor influencing future high-latitude cyclone hazards.","Tian, Chengjie; Yu, Yang; Ji, Jinlin; Zhang, Chenhui; Feng, Jiajun; Li, Guang","8,9,10,11,15,16"
"Winter Sea-Surface-Temperature Memory in the East/Japan Sea Under the Arctic Oscillation: Time-Integrated Forcing, Coupled Hot Spots, and Predictability Windows",Remote Sensing,2026-01-01,18,1,,10.3390/rs18010079,ar,Article,0,2-s2.0-105027307857,,1,"Highlights: What are the main findings? The Arctic Oscillation (AO) conditions winter sea-surface-temperature (SST) memory in the East/Japan Sea. Effective integration timescales are about 2–3 weeks for wind-stress curl and near-surface atmospheric variables, and about 4–7 weeks for sea-level pressure and meridional wind, with longer timescales during the negative AO phase. A covariance-based coupled-pattern analysis consistently identifies East Korea Bay and the Subpolar Front as air–sea coupling hot spots, and time-integrated atmospheric responses reproduce the observed sub-seasonal persistence of SST anomalies. What are the implications of the main findings? These phase-specific memory windows (for example, 3-week wind-stress-curl/near-surface drivers and 4–7-week sea-level-pressure/meridional-wind drivers during the negative phase) can be used as leading indices for sub-seasonal prediction of winter marine heatwaves and cold-surge-impacted SST anomalies. The combination of satellite SST, reanalysis fields, and simple integration/coupled-pattern/persistence diagnostics provides a lightweight, reproducible framework that can be transferred to other marginal seas and climate modes. We examine how the Arctic Oscillation (AO) shapes winter sea-surface-temperature (SST) variability in the East/Japan Sea, with a focus on sub-seasonal SST memory (how long anomalies persist) and air–sea coupling (where SST and atmospheric anomalies co-vary). Using daily OISST v2.1 and ERA5 reanalysis for 1993–2022, we first analyze winter persistence of SST and key atmospheric drivers and identify East Korea Bay and the Subpolar Front as hotspots of long-lived SST anomalies. A rank-reduced multivariate maximum covariance analysis then extracts the leading coupled mode between SST and a set of atmospheric fields under positive and negative AO phases; in both phases the coupled mode is front-anchored, but its amplitude and spatial focus differ. Finally, to quantify the mixed-layer memory, we construct Ornstein–Uhlenbeck-like time-integrated responses of the atmospheric principal components. The effective integration timescales, determined by maximizing zero-lag correlations with the SST mode, cluster at approximately 2–3 weeks for wind-stress curl and near-surface variables and 4–7 weeks for sea-level pressure and meridional wind, with longer timescales during negative AO. The time-integrated atmospheric responses exhibit SST-like persistence, confirming the mixed layer’s role as a stochastic integrator. These AO-conditioned memory windows define practical lead times over which integrated atmospheric indices can act as predictors of winter marine heatwaves and cold-surge-impacted SST anomalies.","Lim, Gyuchang; Park, Jong Jin","6,7,9,14,15,16"
Global Responses of Phytoplankton Size Structure to Marine Heatwaves,Global Biogeochemical Cycles,2026-01-01,40,1,,10.1029/2025GB008854,ar,Article,0,2-s2.0-105026497858,,1,"Marine heatwaves (MHWs) are receiving fast-growing attention due to their devastating ecological and socioeconomic impacts under global warming. Despite studies on the response of phytoplankton abundance to MHWs, their effects on phytoplankton size structure (PSS), a crucial property of phytoplankton community, are poorly understood. Here, we present a global assessment of PSS changes during MHWs based on multi-satellite observations. We find that MHWs tend to increase the dominance of smaller-size phytoplankton in mid-low latitudes, while shifting PSS toward larger-size species in high latitudes. Compared with the high-latitude oceans, PSS are more susceptible to MHWs in mid-low latitudes (ML). Hotspots of PSS shifting to smaller species are observed in the tropical oceans, the eastern boundary upwelling systems, and the mid-latitude transition zones, mainly due to reduced nutrient availability associated with changes in oceanic processes. In contrast, the shift of PSS to larger size classes in the high-latitude oceans is likely attributed to increased light exposure during MHWs. The potential recovery time of these PSS disturbance exhibits marked spatial heterogeneities and suggests a more elastic phytoplankton community during MHWs in ML. These results extend our understanding of the phytoplankton responses to MHWs and have important implications for global fisheries and carbon cycling.","Zhan, Weikang; Zhang, Ying; He, Qingyou; Feng, Ming; Du, Yan; Shen, Xinchen; Liu, Yunchen; Zhan, Haigang","12,13"
